hhNum,village,sex,age,educ,hhSize,landOwned,landCultivated,fo,income
1,A,male,68.705266572535,3,6,9.8,3.7,0,278.0
2,A,male,82.6340696276166,1,5,7.1,7.0,1,936.0
3,A,male,24.3767929612659,6,5,9.1,5.4,0,584.0
4,A,male,75.3880732678808,1,5,7.6,5.6,0,567.0
5,A,male,71.9477223278955,1,5,13.1,3.7,0,181.0
6,A,male,44.421457902994,4,5,4.3,3.5,0,507.0
7,A,male,40.6214283346198,3,5,6.2,4.3,0,231.0
8,A,male,32.5259543969296,5,8,7.0,5.4,0,1675.0
9,A,male,56.579255735036,3,7,5.0,5.0,1,1260.0
10,A,male,77.6116425693035,0,4,4.9,3.7,0,138.0
11,A,male,53.9611300355755,4,4,7.8,4.2,0,308.0
12,A,male,57.7392713478766,3,4,7.4,5.9,0,735.0
13,A,male,62.9385194075294,1,2,2.6,3.1,0,58.0
14,A,male,53.9729022663087,3,4,12.9,7.7,0,954.0
15,A,male,52.6496313600801,3,4,8.9,4.7,0,365.0
16,A,male,20.0665917401202,5,3,25.2,4.9,0,172.0
17,A,male,22.1488590058871,8,6,10.9,7.9,1,2459.0
18,B,male,80.3371450472623,2,2,6.4,3.9,0,105.0
19,B,male,69.7728455541655,2,6,30.4,17.8,0,2532.0
20,B,male,32.2713206624612,5,5,31.0,11.4,0,1030.0
21,B,male,61.9172590253875,1,6,4.5,4.7,0,784.0
22,B,male,62.1486010365188,1,2,9.8,5.0,0,137.0
23,B,female,45.0867482549511,3,2,7.1,6.0,0,444.0
24,B,female,72.6121186842211,0,4,8.6,3.7,0,87.0
25,B,female,55.1035455656238,5,5,8.8,5.0,0,298.0
26,B,male,77.4187550018542,5,4,4.4,3.5,0,264.0
27,B,male,55.5187231791206,4,7,9.0,6.9,0,1876.0
28,B,male,78.7991753667593,2,6,18.2,8.0,1,591.0
29,B,male,57.7724502230994,5,7,7.3,4.3,1,551.0
30,B,male,46.9486009646207,4,4,7.3,3.4,0,181.0
31,B,male,81.672631317284,1,4,15.4,7.9,1,440.0
32,B,male,65.7965016285889,1,4,12.1,7.8,0,522.0
33,B,male,46.2781569338404,4,4,3.7,4.2,1,869.0
34,B,male,20.2120295255445,4,4,8.8,3.7,0,251.0
35,B,male,56.404449462425,2,8,17.4,10.9,0,3363.0
36,B,male,51.3441879041493,4,5,15.5,4.1,0,311.0
37,B,male,76.992485400755,2,2,9.6,8.1,0,619.0
38,B,male,72.6482774014585,1,6,11.1,5.1,0,360.0
39,B,male,75.3705985168926,1,4,4.6,3.1,0,146.0
40,B,female,43.2811325527728,3,5,9.1,4.9,0,212.0
41,B,male,76.680694247596,0,6,5.1,3.6,0,295.0
42,B,female,28.9883193154819,6,4,6.4,5.7,1,797.0
